model_component,feature,importance_pct,feature_group
allocate_flm_regressor,hash__Line Name__62,0.28449347615242004,Line Name category signal
allocate_flm_regressor,hash__Line Name__120,0.27835938334465027,Line Name category signal
allocate_flm_regressor,MIL,0.2782667875289917,MIL
allocate_flm_regressor,hash__Line Name__27,0.2782326936721802,Line Name category signal
allocate_flm_regressor,hash__Site__53,0.27724090218544006,Site category signal
allocate_flm_regressor,hash__Line Name__54,0.27675312757492065,Line Name category signal
allocate_flm_regressor,hash__Line Name__100,0.2766737937927246,Line Name category signal
allocate_flm_regressor,hash__Flag__4,0.27654343843460083,Flag category signal
allocate_flm_regressor,hash__Class Name__32,0.2763384282588959,Class Name category signal
allocate_flm_regressor,hash__Class Name__39,0.2758867144584656,Class Name category signal
allocate_flm_regressor,hash__Rank__2,0.27584895491600037,Rank category signal
allocate_flm_regressor,hash__Line Name__117,0.27557000517845154,Line Name category signal
allocate_flm_regressor,zero_supply,0.27490487694740295,zero_supply
allocate_flm_regressor,hash__Line Name__25,0.2746644616127014,Line Name category signal
allocate_flm_regressor,hash__Class Name__44,0.27465394139289856,Class Name category signal
allocate_flm_regressor,hash__Line Name__15,0.2745431065559387,Line Name category signal
allocate_flm_regressor,hash__Line Name__16,0.27440375089645386,Line Name category signal
allocate_flm_regressor,hash__Site__72,0.27428218722343445,Site category signal
allocate_flm_regressor,hash__Line Name__49,0.2742595970630646,Line Name category signal
allocate_flm_regressor,hash__Class Name__15,0.2738935351371765,Class Name category signal
allocate_flm_regressor,hash__Class Name__14,0.27376407384872437,Class Name category signal
allocate_flm_regressor,hash__Line Name__58,0.27359363436698914,Line Name category signal
allocate_flm_regressor,hash__Line Name__63,0.2732419967651367,Line Name category signal
allocate_flm_regressor,hash__Line Name__88,0.2731931507587433,Line Name category signal
allocate_flm_regressor,hash__Site__76,0.27296218276023865,Site category signal
allocate_flm_regressor,hash__Flag__3,0.2729377746582031,Flag category signal
allocate_flm_regressor,hash__Line Name__37,0.27279624342918396,Line Name category signal
allocate_flm_regressor,hash__Site__80,0.27274611592292786,Site category signal
allocate_flm_regressor,hash__Class Name__43,0.27260902523994446,Class Name category signal
allocate_flm_regressor,hash__Line Name__78,0.2725139856338501,Line Name category signal
allocate_flm_regressor,hash__Site__69,0.2723798453807831,Site category signal
allocate_flm_regressor,hash__Class Name__22,0.27222806215286255,Class Name category signal
allocate_flm_regressor,hash__Site__86,0.27222755551338196,Site category signal
allocate_flm_regressor,hash__Site__41,0.27199479937553406,Site category signal
allocate_flm_regressor,hash__Site__63,0.2719072997570038,Site category signal
allocate_flm_regressor,dc_flms_capped,0.27170616388320923,dc_flms_capped
allocate_flm_regressor,hash__Class Name__40,0.27163106203079224,Class Name category signal
allocate_flm_regressor,hash__Site__35,0.2715799808502197,Site category signal
